date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-02-13,sh.600000,16.8800,16.9000,16.7800,16.8500,16.7800,19992872,336932208.0000,3,0.097437,1,0.417162,0
2017-02-14,sh.600000,16.8700,16.8800,16.7400,16.7500,16.8500,12987235,217924152.0000,3,0.063294,1,-0.593474,0
2017-02-15,sh.600000,16.8200,16.9300,16.7500,16.8400,16.7500,25688032,433573968.0000,3,0.125193,1,0.537314,0
2017-02-16,sh.600000,16.8800,16.9100,16.7600,16.7800,16.8400,16327832,274241728.0000,3,0.079575,1,-0.356291,0
2017-02-17,sh.600000,16.7800,16.8200,16.5900,16.6400,16.7800,13863642,231623672.0000,3,0.067565,1,-0.834334,0
2017-02-20,sh.600000,16.6200,16.9800,16.6200,16.9100,16.6400,29949984,503858480.0000,3,0.145963,1,1.622599,0
2017-02-21,sh.600000,16.8800,17.0800,16.8100,16.8800,16.9100,17509118,296489040.0000,3,0.085332,1,-0.177414,0
2017-02-22,sh.600000,16.8800,16.9000,16.7300,16.7500,16.8800,17032277,285870624.0000,3,0.083008,1,-0.770137,0
2017-02-23,sh.600000,16.7800,16.8300,16.6400,16.6900,16.7500,15011148,250909254.0000,3,0.073158,1,-0.358206,0
2017-02-24,sh.600000,16.6700,16.7500,16.6600,16.7100,16.6900,11594971,193610637.0000,3,0.056509,1,0.119823,0
2017-02-27,sh.600000,16.6900,16.7200,16.5300,16.5900,16.7100,13732273,228302043.0000,3,0.066925,1,-0.718127,0
2017-02-28,sh.600000,16.5800,16.6700,16.5300,16.5900,16.5900,12097943,200661656.0000,3,0.058960,1,0.000000,0
2017-03-01,sh.600000,16.5800,16.6200,16.5200,16.5600,16.5900,16226984,268840224.0000,3,0.079083,1,-0.180836,0
2017-03-02,sh.600000,16.6200,16.6200,16.3900,16.4100,16.5600,18996632,312626384.0000,3,0.092582,1,-0.905795,0
2017-03-03,sh.600000,16.4200,16.4300,16.3200,16.3500,16.4100,12429467,203315662.0000,3,0.060576,1,-0.365627,0
2017-03-06,sh.600000,16.3700,16.5300,16.3500,16.4100,16.3500,15703751,258165904.0000,3,0.076533,1,0.366969,0
2017-03-07,sh.600000,16.3800,16.4500,16.3700,16.4300,16.4100,9319842,152969168.0000,3,0.045421,1,0.121880,0
2017-03-08,sh.600000,16.4000,16.4400,16.3500,16.3900,16.4300,10109647,165715073.0000,3,0.049270,1,-0.243463,0
2017-03-09,sh.600000,16.3700,16.4000,16.2200,16.2200,16.3900,17366025,282644704.0000,3,0.084635,1,-1.037218,0
2017-03-10,sh.600000,16.2300,16.2800,16.1700,16.2300,16.2200,16396375,265663459.0000,3,0.079909,1,0.061654,0
